name,artist,album,popularity,duration_ms,release_date,duration_min,release_year
Live My Life,aespa,Armageddon - The 1st Album,56,159133,2024-05-27,2.6522166666666664,2024
Savior Complex,Phoebe Bridgers,Punisher,67,241640,2020-06-18,4.027333333333333,2020
Happier Than Ever,Billie Eilish,Happier Than Ever,85,298899,2021-07-30,4.98165,2021
Oceans & Engines,NIKI,Nicole,76,336000,2022-08-11,5.6,2022
lacy,Olivia Rodrigo,GUTS,82,177212,2023-09-08,2.953533333333333,2023
For Good - Live from the Gershwin Theatre,"Cynthia Erivo, Ariana Grande, Idina Menzel, Kristin Chenoweth",Wicked: One Wonderful Night (Live) – The Soundtrack,73,271695,2025-11-07,4.52825,2025
As Long As You’re Mine,"Cynthia Erivo, Jonathan Bailey",Wicked: For Good – The Soundtrack,79,246573,2025-11-21,4.10955,2025
We're In Love,"boygenius, Julien Baker, Phoebe Bridgers, Lucy Dacus",the record,54,294626,2023-03-31,4.910433333333334,2023
TV,Billie Eilish,Guitar Songs,84,281380,2022-07-21,4.689666666666667,2022
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),91,250268,2025-06-20,4.171133333333334,2025
Titanium (feat. Sia),"David Guetta, Sia",Nothing but the Beat 2.0,72,245040,2011-08-24,4.084,2011
Gravity,Sara Bareilles,Little Voice,62,233021,2007-07-03,3.8836833333333334,2007
Punisher,Phoebe Bridgers,Punisher,64,189622,2020-06-18,3.1603666666666665,2020
Dear,QWER,"3rd Mini Album 'In a million noises, I'll be your harmony'",55,202026,2025-06-09,3.3671,2025
The Wizard And I,"Cynthia Erivo, Michelle Yeoh",Wicked: The Soundtrack,76,336858,2024-11-22,5.6143,2024
ballad of a homeschooled girl,Olivia Rodrigo,GUTS,70,203369,2023-09-08,3.389483333333333,2023
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",85,222369,2023-07-13,3.70615,2023
To Be Loved,Adele,30,65,403961,2021-11-19,6.732683333333333,2021
Clarity,"Zedd, Foxes",Clarity,79,271426,2012-01-01,4.523766666666667,2012
Waiting Room,Phoebe Bridgers,"Lost Ark Studio Compilation, Vol. 8",78,393962,2016-08-12,6.566033333333333,2016
